"protein_group","number_of_peptides_A_1","number_of_peptides_A_1","number_of_peptides_A_1","number_of_peptides_B_1","number_of_peptides_B_1","number_of_peptides_B_1","abundance_A_1","abundance_B_1","log_fold_change_B_vs_A","differential_abundance_pvalue_B_vs_A","differential_abundance_qvalue_B_vs_A"
"Q9Y6R4",NA,8,NA,NA,4,10,19.227503953424,19.5704926705147,9.85395373527806e-12,0.999995542393648,1
"Q86U42",5,7,10,NA,6,7,21.1879948850822,21.211507808127,0.145156732279088,0.142648395983694,0.303648078020152
"Q92945",33,31,32,36,35,31,21.9755698787195,21.8524091702697,0.102065348571129,0.0141819814693209,0.0435583824873995
"Q68E01",6,10,7,NA,6,6,19.6115136048429,19.6176548652149,7.75655774968981e-20,0.99999999953181,1
"Q9BTD8",6,5,5,NA,4,NA,20.0508046370718,20.0143556151528,9.96794260454914e-20,0.999999999273326,1
"Q8IYB3",14,10,13,15,14,13,20.359821502583,20.334417917637,6.87001365700185e-20,0.999999999263583,1
"Q9P258",22,22,22,25,23,19,22.7212483947591,22.5710222271028,9.75962318735485e-12,0.999992931007268,1
"Q8NBS9",9,9,10,11,10,10,21.3285942571103,21.1721081524638,7.25867675113579e-21,0.999999999914723,1
"O75822",11,12,12,8,10,14,22.6763525045684,22.5415244633406,0.0084800362624602,0.739570513930553,1
"Q14103",15,15,18,16,14,17,21.8127423567696,21.7650753293029,0.128699228675019,0.0275386578277777,0.0762292024659183
"Q92879",10,6,6,12,10,9,20.6822854661808,20.6976175713582,0.0433953887366212,0.499857630913115,0.847863646567172
"Q9UQ35",38,36,33,39,37,36,21.3552564960889,21.2396266377023,3.33302584930513e-17,0.999999997522545,1
"P52701",27,26,25,28,30,30,21.1579585729514,21.0561127186073,2.17826672555853e-20,0.999999999664217,1
"P00959",NA,NA,NA,NA,6,NA,18.5412513346311,19.7756804531743,1.09217182128115,2.79283456468987e-05,0.00017795903368575
"Q5VTL8",7,NA,7,NA,NA,NA,19.7159148103204,19.6794979340412,7.27975688972097e-11,0.999981413938934,1
"P77581",8,9,8,15,12,16,19.9333110222937,21.7129005418997,1.97676177543167,7.95283398216236e-28,7.74354887736861e-26
"P0AAV6",1,NA,1,NA,2,2,18.0056437606528,19.4941719139709,1.64739713134915,1.33536340163886e-06,1.11550895004518e-05
"P09938",16,14,14,11,10,11,22.9047487128369,21.8907524515167,-0.829604388928614,1.32075864659576e-10,2.10034684487292e-09
"P55060",34,39,43,39,39,41,21.7459849298839,21.6713640615985,0.138067097336089,0.0134694615727571,0.0416465246400011
"Q9NQP4",NA,NA,NA,NA,2,1,23.025816815482,23.1386715738508,0.159517630153405,0.290258908919243,0.544235454223581
"P15180",20,21,23,15,18,15,21.3066726990138,20.1858922208345,-0.928447711882542,1.66676734824729e-17,5.89207565781686e-16
"P02786",35,33,35,35,38,36,23.7197939339139,23.7206953226438,1.47767189436108e-08,0.999529993718385,1
"Q9Y490",72,82,74,79,81,88,22.0834689925654,22.0263472008555,0.128191702564099,1.48843154166865e-06,1.23664596650614e-05
"P0A7J3",1,NA,NA,NA,6,4,22.2191955545714,24.1487419085172,2.20672021694541,9.29774819157395e-11,1.50444613595439e-09
"P35221",NA,NA,NA,NA,7,NA,19.4009032684047,19.2457017534207,4.69735158743737e-21,0.999999999969895,1
"Q96C19",6,5,4,7,5,3,21.4897523983875,21.4881451243632,0.096774665964443,0.276180885878684,0.521894421731936
"Q9GZT9",NA,NA,NA,NA,NA,3,19.5925313267015,19.3678212407791,-1.0951496229329e-19,0.999999999712004,1
"Q96T51",6,6,6,NA,5,6,19.7391562923377,19.8272789258489,0.149262698783791,0.0444905100095773,0.114423917197156
"O14497",25,24,26,25,23,31,20.1438795589966,20.133564179867,5.85861559376591e-20,0.999999999438444,1
"P39935",13,15,13,10,11,9,21.209423606344,20.0858110238089,-0.932542530507896,4.10556221916137e-08,4.29922081440483e-07
"P0DMV8,P0DMV9",16,16,17,18,14,14,23.6671785336791,23.5143780724258,4.49531272887398e-19,0.999999998054171,1
"P31948",34,36,36,35,37,39,22.8263397273502,22.7662675995293,0.125720757311195,0.00216089292494988,0.0085419912631566
"O60716",17,19,14,14,18,14,20.5406164356852,20.3952368302486,6.79500197861045e-21,0.999999999863874,1
"Cont_Q29443",25,25,28,26,26,29,21.7113131273095,21.6433961798615,0.0585339179870893,0.341845542811948,0.620876007564209
"P26641",28,22,24,28,23,24,22.131086080005,22.1270430266937,0.0585125647438308,0.194549380693982,0.391639123268626
"Q06505",8,4,8,NA,NA,5,20.4538052824775,19.4601474026544,-0.841990151307541,3.77819161664833e-05,0.000237205469144777
"Q04697",6,9,8,3,5,7,21.3634675065577,20.4268105601432,-0.740444094812763,4.29952127638982e-06,3.23337982167527e-05
"P31350",9,12,13,10,12,14,20.9117945285398,20.9121724657447,0.136357260909414,0.0821291028982402,0.193306412673975
"Q16643",12,13,11,12,12,14,21.6228885915694,21.552922678264,0.0595325515804868,0.322820634888033,0.593021143330735
"P25694",28,33,30,22,23,24,22.3633970501498,21.27822562874,-0.911212180787008,2.05384282418125e-47,8.14201976728996e-45
"Cont_Q3T052",14,12,18,15,17,17,21.7984161588809,21.7211686449414,0.0309163584388139,0.444594687003891,0.774482270204518
"Q9NVA2",6,6,7,NA,5,9,21.2066104218518,21.1496540009019,3.42383492804325e-20,0.999999999696327,1
"P38431",10,10,14,NA,8,8,22.1255301340325,21.1325544648967,-0.787334234957337,2.72271225331397e-07,2.52693194078471e-06
"Q99733",8,7,7,7,6,9,21.3480520147469,21.3693700786571,0.177156008839555,0.0276617474323996,0.0764936214498345
"Q13263",40,39,41,40,46,45,21.0062062200018,20.993066696003,0.1316944572005,1.63135107604225e-05,0.000108431119425563
"P49006",NA,2,2,NA,2,2,24.2157718954193,24.2259680530175,0.0973099084687521,0.299211154387089,0.558004673000116
"P16659",5,NA,NA,14,13,19,18.2775368969811,19.9915097246867,1.90147111520342,6.28640183174259e-09,7.53553567303917e-08
"O43837",10,8,9,9,12,8,21.0600230175419,21.0771986766459,0.0525006838500448,0.47182027749565,0.81071286071234
"P22830",5,9,10,11,7,9,20.8629441212754,20.7585895577903,5.86940871905996e-20,0.999999999586095,1
"P46777",22,20,21,20,27,22,22.9578023437006,23.0814017201789,0.166887163096198,0.185500302526482,0.376014126742869
"Q96PK6",26,21,21,25,25,24,22.0214885574366,21.9108589606423,2.10719401148691e-12,0.999998494660703,1
"P17858",7,12,7,10,11,10,20.2779831443164,20.3205875417631,0.214008458326474,0.0427096397196446,0.110404518138811
"P77674",5,5,8,15,11,12,19.5445191570821,21.2174936972034,1.69403808630459,1.55598120023532e-25,1.233670808758e-23
"P06753",NA,NA,NA,NA,NA,5,22.408547850479,22.2914681154251,4.40888812319931e-20,0.99999999969404,1
"Q7Z6E9",16,17,11,12,14,16,20.0443572494897,19.9264780538133,0.0850321036207607,0.217900438238963,0.429451431012736
"Q9UBQ7",8,9,13,9,8,9,21.6348538302939,21.6241651860316,0.152674385214875,0.0733842803438898,0.176160361552158
"P32263",13,10,9,8,8,9,21.4817272816747,20.4476926278637,-0.877814919321152,5.09931969054714e-21,2.59644259472813e-19
"Q9Y277",9,10,9,9,10,9,22.6067128801646,22.4916916274153,0.0238499307977676,0.512446630253821,0.864987468950337
"P0A9Q7",12,13,15,28,34,26,19.7919262118696,21.5680227351174,1.84742626382481,5.50453952118884e-45,1.90938714641238e-42
NA,NA,NA,NA,NA,NA,NA,20.4135732836483,19.7202315193618,-0.294088891632054,0.279840667038586,0.527373752823142
"O95782",26,21,23,28,23,28,21.5262907230463,21.5285449270466,0.138615737823583,0.00388020822274113,0.0141585507141442
"P14866",31,34,35,41,34,35,21.9569951417347,21.8697039472526,1.90775577710035e-07,0.99870621999029,1
"P67809",13,17,14,14,14,16,21.3854417914145,21.1915282601321,2.9169512299044e-18,0.999999997741324,1
"Q96GM8",7,11,11,NA,10,13,20.0479601165302,20.1142323838029,0.0426635407088887,0.461010737126117,0.795975945526486
"Q1ED39",5,7,NA,NA,5,6,20.3248795009064,20.0575335786043,-2.69899032169078e-20,0.999999999853913,1
"P12270",54,54,62,58,55,63,21.8376577801044,21.7646252509737,0.124521868625609,4.11531737911872e-05,0.000256053940068486
"Q12363",17,17,21,15,14,15,22.8767495733523,21.8376175005843,-0.855893540329173,4.28963456740331e-11,7.23631363194175e-10
"Q07478",13,13,12,12,14,15,22.2818859808784,21.1092183520383,-0.937325560285144,1.77399267254522e-16,5.71580919552909e-15
"P46821",26,32,30,34,35,32,20.4466939206991,20.476883579502,0.123538419067382,0.0130827934374951,0.0407232213001109
"P55263",7,9,7,10,9,9,21.4504320922732,21.2782391443706,7.00317360952473e-20,0.99999999938513,1
NA,NA,NA,NA,NA,NA,NA,19.6332071958371,19.5372080248602,2.40138038461833e-20,0.999999999833374,1
"Q08211",56,54,55,58,57,62,22.3882473627199,22.3003972456594,0.123783866329767,0.000923158121170043,0.00406306706779837
"P06454",2,3,3,5,3,3,22.0809585688299,21.6381996410194,-0.167200274029957,0.137948617694572,0.29514835320157
"Q7Z460",NA,NA,NA,17,12,8,19.9170121996488,19.9213811679478,0.214254590076514,0.0140567802591648,0.0432456377152797
"P17967",24,22,22,17,19,13,23.6958504328292,22.6257391786038,-0.837961072716457,6.75016622376577e-22,3.86220850947423e-20
"P09496",NA,NA,NA,NA,4,NA,22.9696492162346,23.0128038309862,0.0737183609503321,0.517855198920706,0.873054785543718
"P19097",64,67,61,53,44,43,22.0330646730111,20.9611153393907,-0.891878303041203,1.07188387473128e-62,1.18979110095172e-59
"Q13356",11,15,17,18,19,16,21.0387674976739,20.9244733437463,3.61058641134676e-11,0.999979944234374,1
"P16862",33,31,35,23,27,21,21.7337889011801,20.5869911522125,-0.929221492794595,2.02282939855143e-25,1.58122579745921e-23
"Q9P253",NA,NA,NA,NA,NA,1,19.1984109084021,19.4102742037486,0.00759985486923082,0.871533890071191,1
"P38061",6,7,8,6,6,5,20.9467517102652,19.9046282948263,-0.768235028256015,0.000886542830897905,0.00392056789759631
"Q9NVM6",6,NA,3,NA,5,5,20.184773629419,20.0525789252461,0.107366070326697,0.236589735208907,0.457198130365402
"Q9UHV9",5,7,8,9,4,6,21.6344328639639,21.6625386093029,5.56881968104931e-16,0.999999955294674,1
