"protein_group","number_of_peptides_A_1","number_of_peptides_A_2","number_of_peptides_A_3","number_of_peptides_B_1","number_of_peptides_B_2","number_of_peptides_B_3","differential_abundance_pvalue_B.A","differential_abundance_qvalue_B.A","abundance_A_1","abundance_A_2","abundance_A_3","abundance_B_1","abundance_B_2","abundance_B_3"
"Biognosys|iRT-Kit_WR_fusion",11,11,11,11,11,11,0.422119633287739,0.566614430836234,33.6300164344321,33.6334594319836,33.4582818061865,33.7481213797705,33.6738694573185,33.6043516110735
"CON__A2A4G1;sp|P19012|K1C15_HUMAN;sp|Cont_P19012|K1C15_HUMAN;CON__P19012;sp|Cont_O77727|K1C15_SHEEP",1,0,0,0,1,0,0.342420920509245,0.493530565666128,25.5004812924668,NA,NA,NA,25.9150836663919,NA
"sp|Cont_A2I7N1|SPA35_BOVIN;CON__A2I7N1;sp|Cont_A2I7N2|SPA36_BOVIN;sp|Cont_A6QPQ2|SPA38_BOVIN",6,6,4,5,5,6,0.100900763033958,0.228449753569605,25.0237203235024,25.1626835230751,23.9633019636142,25.5235634503768,25.3375209482643,25.2732985940421
"sp|Cont_A2I7N3|SPA37_BOVIN;CON__REFSEQ:XP_001252647;CON__A2I7N3",1,1,2,1,2,2,0.146135930551394,0.288609602536019,23.8297637707595,23.4239851738004,24.4064767318349,24.0225656543972,24.5110637397794,24.6712981629644
"CON__ENSEMBL:ENSBTAP00000007350;sp|Cont_P01030|CO4_BOVIN",11,12,12,15,14,12,0.0774987889590754,0.193292028001043,23.8465241617605,23.5656590346655,24.3437385402305,24.7636223452025,24.3244707377314,24.2851394827363
"CON__ENSEMBL:ENSBTAP00000014147",3,3,2,2,2,2,0.864548487049839,0.912900732060573,26.6552558155607,26.6882338300942,26.6410105034998,26.3233505139271,26.8051518872086,26.7678061438177
"CON__ENSEMBL:ENSBTAP00000024146;sp|Cont_Q7SIH1|A2MG_BOVIN;sp|P01023|A2MG_HUMAN;sp|P20742|PZP_HUMAN",24,23,25,23,22,25,0.485471742012016,0.620510427916057,28.724908484597,28.7252531344624,28.522093090152,28.9382421564934,28.5979810000769,28.754068343022
"CON__ENSEMBL:ENSBTAP00000024466;CON__ENSEMBL:ENSBTAP00000024462",9,10,9,10,9,8,0.446552439273133,0.588418343659258,26.6365278558666,26.658036244719,26.4947680199471,26.6477627089828,26.8548490897937,26.6002659818142
"CON__ENSEMBL:ENSBTAP00000034412",4,4,3,5,2,5,0.697373935823046,0.789659521688074,27.130652078825,27.7086056559646,26.5114289811039,27.4581612335032,26.6860992155648,26.7528779022903
"CON__P00735;sp|Cont_P00735|THRB_BOVIN;sp|P00734|THRB_HUMAN",8,7,9,8,9,9,0.241798925305011,0.394359552307882,28.7050326808954,28.3381093632412,28.6519758856562,28.8963855983582,28.5932411177728,28.8288763768375
"sp|Cont_P00761|TRYP_PIG;CON__P00761",6,5,6,5,6,6,0.736030651704817,0.816400854535694,33.456474814773,33.4439554519262,33.3813863218691,33.5970979733775,33.5131891506466,32.963897940987
"CON__P01030",1,1,0,1,1,1,0.0755497211251046,0.19027625640065,21.6882894170609,21.9057472894844,NA,22.1158894743409,22.22918083043,22.0625801570274
"sp|Cont_P01044|KNG1_BOVIN;CON__Q2KJ62;CON__P01044-1;sp|Cont_P01045|KNG2_BOVIN;CON__P01045-1",2,2,2,2,2,2,0.904149505090516,0.940718848713901,24.2328504960578,24.3479721486872,24.2615760803591,24.1492313155895,24.7370532875762,24.0354692279966
