Parameter	AdaNovo	AlphaDIA	AlphaPept	DIA-NN	FragPipe	InstaNovo	MSAID*	MSAngel	MaxQuant	MetaMorpheus	PEAKS	ProlineStudio	QuantMS	Sage	Spectronaut	Wombat	i2MassChroQ
abundance_normalization_ions		**normalization_method** setting in the config; mapped to `DirectLFQ` if the value is `directlfq`, else left as-is	Fixed to `None` — AlphaPept has no normalization step	No --cfg: **--no-norm** → `None`; **--global-norm** → `Global normalization`; **--sig-norm** → `RT & signal-dep. normalization`;<br>otherwise `RT-dependent normalization`.\*<br>--cfg: additionally forced to `None` if the log contains **Normalisation disabled**	If not DIA-NN quant, parsed from **ionquant.normalization**<br>if DIA-NN quant, not parsed		Not parsed	Parsed from **quantitationConfig.lfqConfig.masterMapCreationConfig.normalizationMethod**	Not parsed	Parsed from **SearchParameters.Normalize** (bool)	Parsed from line **Normalization Method: X**	Not parsed	Parsed from **normalize** from the json file (coerced to bool)	Not parsed	Parsed from line **Cross-Run Normalization: X**	Parsed from **normalization_method**	Parsed from **mcqr_normalization_method** (both X!Tandem and Sage paths)
allowed_miscleavages		**missed_cleavages** setting in **library_prediction** section of the config	**n_missed_cleavages** in **fasta** section of the config	No --cfg: value set for **--missed-cleavages**<br>--cfg: parsed from line **Maximum number of missed cleavages set to X**	Parsed from **msfragger.allowed_missed_cleavage_1**		Parsed from **Max. Missed Cleavage Sites**	Parsed from **ERRORTOLERANT** in the **paramMap** section if Mascot is used\*<br>Parsed from **nMissedCleavages** in **digestionParameters** in the **paramMap** section if X!Tandem is used	Parsed from **maxMissedCleavages**	Parsed from **CommonParameters.DigestionParams.MaxMissedCleavages**	Parsed from line **Max Missed Cleavage: X**	Parsed from **max_missed_cleavages** on **Search settings and infos** sheet	Parsed from **allowed_missed_cleavages** from the json file	Parsed from **missed_cleavages** in the **database[enzyme]** section in the config	Parsed from line **Missed Cleavages: X**	Parsed from **miscleavages**	"If X!Tandem: parsed from **scoring, maximum missed cleavage sites**, overridden by **refine, maximum missed cleavage sites** if **refine** = `""yes""`<br>if Sage: parsed from **sage_database_enzyme_missed_cleavages**"
checkpoint	Not parsed					Parsed from **instanovo_model**											
decoding_strategy	"`""greedy search""` if **n_beams** == 1, else `""beam search""`"					"`""greedy search""` if **num_beams** == 1, else `""beam search""`"											
enable_match_between_runs		Set to True if **mbr_step_enabled** is True, else False	**match** in **workflow** section of the config	No --cfg: True if **--reanalyse** is set, else false<br>--cfg: True if **reanalyse them** (version <1.8) or **MBR enabled** (version >1.8) is mentioned	If **quantitation.run-label-free-quant** is true, parsed from **ionquant.mbr**<br>if DIA-NN (**diann.run-dia-nn** true), true if **--reanalyse** appears in **diann.fragpipe.cmd-opts** or **diann.cmd-opts**, or if **diann.mbr** is true		True if **Quan in all file** or **MBR** is found in **quantification_method**	True (fixed)	Parsed from **matchBetweenRuns**	Parsed from **SearchParameters.MatchBetweenRuns**	Parsed from line **Match Between Run: X**	Set to true if **cross assignment** is present in the rows of the **Quant config** sheet, else False	Not parsed	True (fixed)	False (fixed)	Parsed from **enable_match_between_runs**	Parsed from **mcq_mbr**
enzyme		**enzyme** setting in **library_prediction** section of the config	**protease** in **fasta** section of the config; `trypsin` normalized to `Trypsin`	No --cfg: value set for **--cut** (if absent entirely, defaults to `Trypsin/P`; a bare **--cut** flag with<br>no value means no-digestion mode → `No digestion`); `K*,R*`/`K*,R*,!P` normalized to `Trypsin/P`/`Trypsin`<br>--cfg: reconstructed from lines **In silico digest will involve cuts at X** and **But excluding cuts at X**,<br>then normalized the same way	Parsed from **msfragger.search_enzyme_name_1** and **msfragger.search_enzyme_name_2**; `stricttrypsin`→`Trypsin/P`, `trypsin`→`Trypsin`		Parsed from **Enzyme**	Parsed from **CLE** in the **paramMap** section if Mascot is used (normalized to a canonical enzyme name)<br>Parsed from **enzymes** in **digestionParameters** in the **paramMap** section if X!Tandem is used (normalized to a canonical enzyme name)	Parsed from **\<enzymes>\<string\>**	Parsed from **CommonParameters.DigestionParams.Protease**	Parsed from line **Enzyme: X**	Parsed from **enzymes** on **Search settings and infos** sheet	Parsed from **enzyme** from the json file	Parsed from **cleave_at** and **restrict** in the **database[enzyme]** section in the config	Parsed from line **Enzymes / Cleavage Rules: X**	"Parsed from **enzyme** (title-cased to ""Trypsin"" if the value is ""trypsin"")"	If Sage is used: parsed from **sage_database_enzyme_cleave_at**, **sage_database_enzyme_restrict**, **sage_database_enzyme_c_terminal**<br>if X!Tandem is used: parsed from **protein, cleavage site**
fixed_mods		**fixed_modifications** setting in **library_prediction** section, homogenized to ProForma-like notation (e.g. `Oxidation@M` → `M[Oxidation]`)	**mods_fixed** & **mods_fixed_terminal** & **mods_fixed_terminal_prot** in **fasta** section of the config;<br>known codes homogenized (e.g. `cC`→`C[Carbamidomethyl]`, `oxM`→`M[Oxidation]`, `a<^`→`N-term[Acetyl]`), others kept as-is	No --cfg: value set for **--mod**, plus any **--unimodN** command tokens (for DIA-NN ≥1.8 these are all<br>treated as fixed mods; for <1.8, `unimod4`/`unimod35` map specifically to fixed-Carbamidomethyl/<br>variable-Oxidation)<br>--cfg: parsed from the lines **X enabled as a fixed modification** and **Modification X with mass<br>delta X at X will be considered as fixed**<br>In both cases the raw value is homogenized to ProForma-like notation via a mapping table<br>(e.g. `unimod4`, `UniMod:4`, `Carbamidomethyl (C)` → `C[Carbamidomethyl]`)	Parsed from **msfragger.table.fix-mods**, converted to ProForma-like notation via a mass→name lookup table (falls back to the raw mass if unrecognized)		Parsed from **Static Modifications**	Parsed from **MODS** in the **paramMap** section if Mascot is used<br>Parsed from **fixedModifications** in **modificationParameters** in the **paramMap** section if X!Tandem is used	Parsed from **fixedModifications**, converted to ProForma-like notation (expands multi-residue mods, e.g. `Phospho (STY)` → `S[Phospho], T[Phospho], Y[Phospho]`; terminal qualifiers kept as-is; falls back to a small mapping table for names like `Cys-Cys`/`Cysteinyl`)	"Parsed from **CommonParameters.ListOfModsFixed**, converted from MetaMorpheus's `""{mod} on {residue}""` format to ProForma-like notation (handles Pep/Prot N-/C-term qualifiers)"	Parsed as the elements between **Fixed Modifications:** and **Variable Modifications**	Parsed from **fixed_ptms** on **Search settings and infos** sheet	Parsed from **fixed_mods** from the json file	Parsed from **static_mods** in the **database** section in the config, mapped to ProForma-style mod names via a mass lookup table	Parsed from line **Fixed Modifications: X**	Parsed from **fixed_mods**	Parsed from either **sage_database_static_mods** or **residue, modification mass**, depending on search engine used; both converted to ProForma-like notation via a mapping table (falls back to raw token)
fragment_mass_tolerance		**target_ms2_tolerance** setting in **search** section of the config, formatted as `[-X ppm, X ppm]`	**frag_tol** in **search** section of the config, same unit logic as precursor_mass_tolerance	Value set for **--mass-acc**. If this parameter is not set, it means tolerance optimization will<br>be performed. In that case, as well as if --cfg is set, the value will be parsed from line<br>**Optimised mass accuracy: X ppm**	Parsed from **msfragger.fragment_mass_tolerance** (symmetric); unit (ppm/Da) from **msfragger.fragment_mass_units**		Parsed from **Fragment Mass Tolerance**	Not parsed if Mascot is used<br>Parsed from **fragmentIonMZTolerance** and **fragmentAccuracyType** in the **paramMap** section if X!Tandem is used	Parsed from **MatchTolerance**; unit is ppm if **MatchToleranceInPpm** is true, otherwise Da	Parsed from **CommonParameters.ProductMassTolerance**, same formatting	"Parsed from line **Fragment Mass Error Tolerance: X** (falls back to 40 ppm if the value is ""System Default"")"	Parsed from **fragment_mass_error_tolerance** on **Search settings and infos** sheet	Parsed from **fragment_mass_tolerance** (+ **fragment_mass_tolerance_unit**) from the json file	Parsed from **fragment_tol**	Set to **Dynamic**, if the calibration method is set to **Dynamic**<br>If the calibration method is set to **Static** or **Relative**, tolerances are extracted from line **MS2 Tolerance: X**, with Th or ppm units, respectively	Parsed from **fragment_mass_tolerance**	Parsed from either **sage_fragment_tol** or **spectrum, fragment monoisotopic mass error**<br> (single symmetric value, not separate minus/plus), depending on search engine used
ident_fdr_peptide		Not parsed as not an option	Not parsed as not an option	Not parsed as not an option	If not DIA-NN quant, parsed from **phi-report.filter**<br>if DIA-NN quant, not parsed		0.01 (fixed)	Not parsed	Not parsed	Not parsed (explicitly set to `None`)	Parsed from line **Peptide FDR: X**	Not parsed	Not parsed	Not parsed	Not parsed	Parsed from **ident_fdr_peptide**	Parsed from **peptide_fdr**
ident_fdr_protein		**fdr** setting in **fdr** section of the config	**protein_fdr** in **search** section of the config	Not parsed as not an option (explicitly set to `None` when --cfg is used)	If not DIA-NN quant, parsed from **phi-report.filter**<br>if DIA-NN quant, parsed from **diann.q-value**		0.01 (fixed)	Not parsed	Parsed from **proteinFdr**	Not parsed (explicitly set to `None`)	Parsed from line **Protein Group FDR: X**	Not parsed	Parsed from **protein_level_fdr_cutoff** from the json file	Not parsed	Parsed from line **Protein Qvalue Cutoff (Experiment): X**	Parsed from **ident_fdr_protein**	Parsed from **protein_fdr**
