description,gene_name
sp|Cont_P00722|BGAL_ECOLI,Cont_P00722
sp|Cont_P09870|CLOS_HATHI,Cont_P09870
sp|Cont_P30879|PEPC_PIG,Cont_P30879
sp|Cont_P0C1U8|SSPA_STAAU,Cont_P0C1U8
sp|Cont_Q2FZL2|SSPA_STAA8,Cont_Q2FZL2
sp|Cont_P00698|LYSC_CHICK,Cont_P00698
sp|Cont_Q7M135|LYSC_LYSEN,Cont_Q7M135
sp|Cont_P13717|NUCA_SERMA,Cont_P13717
sp|Cont_P00791|PEPA_PIG,Cont_P00791
sp|Cont_Q10735|PEPB_PIG,Cont_Q10735
sp|Cont_P81054|PLMP_GRIFR,Cont_P81054
sp|Cont_P15636|API_ACHLY,Cont_P15636
sp|Cont_Q9U6Y5|GFPL1_ZOASP,Cont_Q9U6Y5
sp|Cont_P42212|GFP_AEQVI,Cont_P42212
sp|Cont_A1A580|KR231_HUMAN,Cont_A1A580
sp|Cont_A6NCN2|KR87P_HUMAN,Cont_A6NCN2
sp|Cont_A8MTY7|KRA97_HUMAN,Cont_A8MTY7
sp|Cont_A8MUX0|KR161_HUMAN,Cont_A8MUX0
sp|Cont_A8MVA2|KRA96_HUMAN,Cont_A8MVA2
sp|Cont_A8MX34|KR291_HUMAN,Cont_A8MX34
sp|Cont_A8MXZ3|KRA91_HUMAN,Cont_A8MXZ3
sp|Cont_O43790|KRT86_HUMAN,Cont_O43790
sp|Cont_O75690|KRA58_HUMAN,Cont_O75690
sp|Cont_O76009|KT33A_HUMAN,Cont_O76009
sp|Cont_O76011|KRT34_HUMAN,Cont_O76011
sp|Cont_O76013|KRT36_HUMAN,Cont_O76013
sp|Cont_O76014|KRT37_HUMAN,Cont_O76014
sp|Cont_O76015|KRT38_HUMAN,Cont_O76015
sp|Cont_O95678|K2C75_HUMAN,Cont_O95678
sp|Cont_P02533|K1C14_HUMAN,Cont_P02533
sp|Cont_P02538|K2C6A_HUMAN,Cont_P02538
sp|Cont_P04259|K2C6B_HUMAN,Cont_P04259
sp|Cont_P04264|K2C1_HUMAN,Cont_P04264
sp|Cont_P05783|K1C18_HUMAN,Cont_P05783
sp|Cont_P05787|K2C8_HUMAN,Cont_P05787
sp|Cont_P08727|K1C19_HUMAN,Cont_P08727
sp|Cont_P08729|K2C7_HUMAN,Cont_P08729
sp|Cont_P08779|K1C16_HUMAN,Cont_P08779
sp|Cont_P0C5Y4|KRA14_HUMAN,Cont_P0C5Y4
sp|Cont_P0C7H8|KRA23_HUMAN,Cont_P0C7H8
sp|Cont_P12035|K2C3_HUMAN,Cont_P12035
sp|Cont_P13645|K1C10_HUMAN,Cont_P13645
sp|Cont_P13646|K1C13_HUMAN,Cont_P13646
sp|Cont_P13647|K2C5_HUMAN,Cont_P13647
sp|Cont_P19012|K1C15_HUMAN,Cont_P19012
sp|Cont_P19013|K2C4_HUMAN,Cont_P19013
sp|Cont_P20930|FILA_HUMAN,Cont_P20930
sp|Cont_P26371|KRA59_HUMAN,Cont_P26371
sp|Cont_P35527|K1C9_HUMAN,Cont_P35527
sp|Cont_P35900|K1C20_HUMAN,Cont_P35900
sp|Cont_P35908|K22E_HUMAN,Cont_P35908
sp|Cont_P48668|K2C6C_HUMAN,Cont_P48668
sp|Cont_P59990|KR121_HUMAN,Cont_P59990
sp|Cont_P59991|KR122_HUMAN,Cont_P59991
sp|Cont_P60014|KR10A_HUMAN,Cont_P60014
sp|Cont_P60328|KR123_HUMAN,Cont_P60328
sp|Cont_P60329|KR124_HUMAN,Cont_P60329
sp|Cont_P60331|KR101_HUMAN,Cont_P60331
sp|Cont_P60368|KR102_HUMAN,Cont_P60368
sp|Cont_P60369|KR103_HUMAN,Cont_P60369
