"protein_group","abundance_A_1","abundance_A_1.x","abundance_A_1.y","abundance_B_1","abundance_B_1.x","abundance_B_1.y","number_of_peptides_A_1","number_of_peptides_A_1.x","number_of_peptides_A_1.y","number_of_peptides_B_1","number_of_peptides_B_1.x","number_of_peptides_B_1.y","differential_abundance_pvalue_A_vs_B","differential_abundance_qvalue_A_vs_B","log_ratios_A_vs_B"
"Biognosys|iRT-Kit_WR_fusion",-15.9826626636,-16.0196283524,-15.9515846412,-16.0566979152,-15.8180061154,-15.8350442455,63,56,59,68,63,57,0.755061919953596,0.907899397803755,-0.0813757936999995
"sp|A0A0B4J2D5|GAL3B_HUMAN",-18.8028258937,-19.2874761141,-19.2803113732,-19.3260956107,-20.2515502101,-19.0058560563,18,12,12,16,11,14,0.314467662412993,0.670811518324607,0.404296165366667
"sp|A0A3B3IRV3|MCTS2_HUMAN",NA,-20.9220097682,NA,-20.9883194135,-20.8515088697,-20.784648995,5,4,5,6,5,4,NA,NA,NA
"sp|A0AVT1|UBA6_HUMAN",-20.51120004,-20.7621136096,-20.440274513,-20.1970267576,-20.1749568744,-20.4730509795,33,24,28,37,32,34,0.345166328306264,0.69508400746733,-0.289517850366664
"sp|A0FGR8|ESYT2_HUMAN",-25.0652015985,NA,-24.6848434007,-24.9166814449,-23.8400976628,-23.7736305707,3,2,4,2,4,4,0.135672418793503,0.443946188340807,-0.698219273466666
"sp|A0JLT2|MED19_HUMAN",NA,-23.1981399416,NA,-22.5369017696,NA,NA,NA,2,1,1,NA,1,NA,NA,NA
"sp|A0MZ66|SHOT1_HUMAN",-23.8397928132,NA,-24.4677672226,-23.0025236759,-23.6753181671,NA,10,5,5,10,7,10,0.0816368909512761,0.349304482225657,-0.814859096399999
"sp|A2RRP1|NBAS_HUMAN",NA,-25.2167319452,-26.3530340247,-24.755696715,-24.792152078,-25.1580815932,4,6,4,6,5,5,0.0629573665893271,0.298932384341637,-0.882906189550003
"sp|A3KN83|SBNO1_HUMAN",-24.3911496096,-25.9270825566,-25.2053601564,-23.7402514371,NA,-23.5538197577,7,5,5,10,6,9,0.0143183004640371,0.130252100840336,-1.5274951768
"sp|A4D1E9|GTPBA_HUMAN",-22.454748942,-22.9535523489,-23.3211226528,-22.8700173588,-21.5783673375,-23.2962186987,4,5,3,6,7,3,0.458950551044083,0.778005115089514,-0.328273516233331
"sp|A5D8V6|VP37C_HUMAN",NA,-23.6630221996,NA,NA,-23.9225330096,NA,NA,2,NA,NA,2,NA,NA,NA,NA
"sp|A5PLN9|TPC13_HUMAN",NA,-23.5428933923,NA,-23.1750449554,NA,NA,NA,1,NA,1,1,NA,NA,NA,NA
"sp|A5YKK6|CNOT1_HUMAN",-22.5662584764,-23.0838582777,-23.6132225855,-22.4192452513,-23.1309838435,-23.8167909037,34,18,17,35,25,27,0.915327581206496,0.959414098260604,0.034560219633331
"sp|A6NCE7|MP3B2_HUMAN",-21.6107344026,-21.0871472285,-21.5100558331,NA,-21.0937128145,-21.1368858582,2,1,1,1,1,2,0.381694605568445,0.724867724867725,-0.287346485050001
"sp|A6NDG6|PGP_HUMAN",-21.3224899662,-20.6632937316,-20.8321535335,-20.8478268105,-20.2884391821,-20.6388737436,11,11,11,10,12,14,0.320576711136891,0.671447196870926,-0.347599165033333
"sp|A6NDU8|RIMC1_HUMAN",-22.2504266703,-22.0078482274,-23.3462402848,NA,NA,-22.3279504293,2,2,2,NA,NA,2,NA,NA,NA
"sp|A6NHL2|TBAL3_HUMAN",-22.4016520013,-22.1138370864,-22.1434083371,-22.2309817444,-22.240374375,-22.1868349164,3,2,2,2,3,2,0.981114704176334,0.977951842181607,-0.000235463000002767
"sp|A6NHR9|SMHD1_HUMAN",-21.8196257237,-22.9172827558,-21.7670503859,-21.5753497803,-21.9118954278,-21.5538094602,35,33,35,47,35,34,0.232852088167053,0.573730862207897,-0.487634732366665
"sp|A6NIZ1|RP1BL_HUMAN",-22.5873125544,NA,NA,NA,-22.5386117155,-22.0024373141,3,4,4,4,4,3,NA,NA,NA
"sp|A6NJ78|MET15_HUMAN",NA,NA,-24.1974890374,NA,NA,NA,NA,1,1,NA,NA,1,NA,NA,NA
"sp|A8CG34|P121C_HUMAN",-24.7020866596,-24.3229764465,NA,-24.4739755934,NA,NA,1,1,NA,5,NA,NA,NA,NA,NA
"sp|A8MPS7|YDJC_HUMAN",NA,NA,NA,-23.1138072569,NA,NA,1,3,1,3,2,1,NA,NA,NA
"sp|A8MWD9|RUXGL_HUMAN",-19.0860660976,-19.7815541009,-19.5014028208,-19.1189799112,-19.2010768834,-19.1130811874,8,5,7,8,7,5,0.343854553364269,0.694704049844237,-0.311961679100001
"sp|A8MXV4|NUD19_HUMAN",-23.6246422491,NA,NA,-23.60042344,NA,NA,4,NA,2,4,1,1,NA,NA,NA
"sp|B4DXR9|ZN732_HUMAN",NA,NA,NA,NA,-24.3778420293,NA,2,2,NA,2,2,1,NA,NA,NA
"sp|C9JLW8|MCRI1_HUMAN",NA,-21.8228040804,-20.2345364478,-21.9374586531,-21.0056808912,-20.7677733759,4,2,3,3,2,2,0.665563080046404,0.876509544215037,0.208300709299998
"sp|Cont_A2I7N1|SPA35_BOVIN",NA,-22.1082357904,NA,-23.4548059227,-22.9925266351,-23.0515613731,7,6,7,10,4,7,NA,NA,NA
"sp|Cont_A2I7N3|SPA37_BOVIN",-23.3951012812,-23.2871200257,-23.5188486553,NA,-23.2308498723,NA,3,2,2,1,3,1,NA,NA,NA
"sp|Cont_P00330|ADH1_YEAST",-18.0784784278,-18.3636132329,-18.2141087594,-18.7851435432,-18.9784675642,-18.8610844748,93,85,92,54,59,61,0.0541461716937355,0.278,0.656165054033334
"sp|Cont_P00722|BGAL_ECOLI",-24.958212577,NA,NA,-22.909513791,-23.5378833588,-23.3798417744,1,2,2,11,4,8,NA,NA,NA
"sp|Cont_P00735|THRB_BOVIN",-21.1611709243,-21.7199329467,-21.1335878853,-20.8680819139,-21.887993623,-20.9624887303,17,18,18,17,13,19,0.777998694895592,0.9208058353595,-0.0987091630333339
"sp|Cont_P00761|TRYP_PIG",-16.7925499088,-16.4914297654,-16.7439763149,-16.7739049585,-16.6224668459,-16.8673978797,51,51,48,55,53,51,0.771195620649652,0.915123995808592,0.0786045649999991
"sp|Cont_P01017|ANGT_BOVIN",-24.1166049628,-24.1253592833,NA,-23.1660560361,-23.9007764573,NA,3,3,2,3,3,1,0.15660150812065,0.465851172273191,-0.587565876349998
"sp|Cont_P01030|CO4_BOVIN",-24.9977265532,-24.1057216017,NA,-23.7522225159,-22.8515393971,-23.406545175,5,4,4,8,5,4,0.0232892981438515,0.166666666666667,-1.21495504811666
"sp|Cont_P01044|KNG1_BOVIN",-23.9651710425,-23.7749101904,-23.6569068528,-23.8289075337,-24.0656410612,-23.5566289983,3,3,2,4,3,3,0.934522476798144,0.966576332429991,0.0180631691666662
"sp|Cont_P01966|HBA_BOVIN",-16.1143964315,-16.7969990356,-16.4728677301,-16.1430291932,-16.1165607778,-16.065610412,65,58,54,72,65,67,0.289120939675174,0.637119113573407,-0.353020938066667
"sp|Cont_P02070|HBB_BOVIN",-21.06079037,NA,-22.1742616386,-20.7113567916,-22.2250193907,-20.9833196916,20,1,15,4,19,19,0.525196055684455,0.82755388940956,-0.310960713
"sp|Cont_P02081|HBBF_BOVIN",-18.0292304433,-18.7383072024,-18.0421916987,-18.0634540436,-18.225575268,-17.964298701,35,21,30,29,32,30,0.570078016241299,0.84384649316277,-0.185467110600001
"sp|Cont_P02769|ALBU_BOVIN",-19.1989028668,-19.0895859434,-19.2932794755,-18.9957384752,-18.8570152574,-18.7795091048,48,42,45,53,43,44,0.283115284222738,0.634129213483146,-0.316501816100001
"sp|Cont_P05783|K1C18_HUMAN",-20.1984053358,-19.8199783744,-19.7387331197,-19.5231236653,-19.4502867552,-19.8534291351,19,22,21,31,26,28,0.339044373549884,0.691682301438399,-0.310092424766669
"sp|Cont_P05787|K2C8_HUMAN",-20.8331193706,-20.0269617627,-20.7455893233,-19.8645015721,-21.116600727,-20.2452980555,40,34,34,44,36,41,0.737494489559165,0.903353768481789,-0.126423367333331
"sp|Cont_P08727|K1C19_HUMAN",-20.0208217217,-19.8452518361,-19.7742033466,-19.909946204,-19.8321049485,-20.0254311344,17,16,15,19,18,14,0.863955481438515,0.94910371318822,0.0424017941666648
"sp|Cont_P08730|K1C13_MOUSE",NA,-23.3288601182,NA,NA,NA,NA,2,3,3,2,1,NA,NA,NA,NA
"sp|Cont_P12763|FETUA_BOVIN",-18.6697730274,-18.739069509,-18.587456933,-18.6807110187,-18.7231619204,-18.2685427249,21,28,21,27,28,33,0.707001885150812,0.89873417721519,-0.107961268466667
"sp|Cont_P13645|K1C10_HUMAN",-23.0848539318,-22.8089752364,-23.7091057849,-23.1192360491,-22.5211363029,-22.1590548178,3,4,3,5,6,5,0.154315980278422,0.462962962962963,-0.601169261099997
"sp|Cont_P15497|APOA1_BOVIN",-20.6383825221,-21.225722636,-20.4709127246,-19.5778525627,-20.2076053272,-20.2278038997,16,12,14,15,15,16,0.0645440835266821,0.305944055944056,-0.773918697700001
"sp|Cont_P17690|APOH_BOVIN",-21.6980397133,-22.2416792073,-21.759250897,-22.3345595545,-22.157281303,-22.9427373782,3,2,2,2,3,1,0.139106583526682,0.449227373068433,0.578536139366665
"sp|Cont_P32503|GAG_SCVLA",-20.1650091039,-19.9582480985,-19.8900970468,-20.7752975087,-20.7480932542,-20.8660378418,18,17,19,17,10,13,0.0280825116009281,0.192982456140351,0.792024785166664
"sp|Cont_P33433|HRG_BOVIN",-21.7642010769,-21.3544738807,-22.211763706,-22.0484335648,-21.6540272665,-21.5883479832,4,4,4,5,4,7,0.950520591647332,0.969427129712081,-0.0132099496999984
