"accession"	"species"	"Accession_without_shared_peptide"	"pep_count"
"Biognosys|iRT-Kit_WR_fusion"	"fusion"	TRUE	38
"sp|A0A023PXA5|YA19A_YEAST"	"YEAST"	FALSE	47
"sp|A0A023PXB0|YA019_YEAST"	"YEAST"	FALSE	35
"sp|A0A023PXB5|IRC2_YEAST"	"YEAST"	TRUE	24
"sp|A0A023PXB9|YD99W_YEAST"	"YEAST"	FALSE	13
"sp|A0A023PXC2|YE53A_YEAST"	"YEAST"	FALSE	21
"sp|A0A023PXC7|YE068_YEAST"	"YEAST"	FALSE	24
"sp|A0A023PXD3|YE88A_YEAST"	"YEAST"	FALSE	48
"sp|A0A023PXD5|YE147_YEAST"	"YEAST"	TRUE	53
"sp|A0A023PXD9|YF015_YEAST"	"YEAST"	FALSE	45
"sp|A0A023PXE5|YH006_YEAST"	"YEAST"	FALSE	40
"sp|A0A023PXE8|YH028_YEAST"	"YEAST"	FALSE	32
"sp|A0A023PXF2|YH071_YEAST"	"YEAST"	FALSE	53
"sp|A0A023PXF5|YH218_YEAST"	"YEAST"	FALSE	51
"sp|A0A023PXF8|YI066_YEAST"	"YEAST"	TRUE	37
"sp|A0A023PXG3|YI56A_YEAST"	"YEAST"	FALSE	51
"sp|A0A023PXG7|YL230_YEAST"	"YEAST"	FALSE	37
"sp|A0A023PXH2|YM31A_YEAST"	"YEAST"	FALSE	37
"sp|A0A023PXH4|YA026_YEAST"	"YEAST"	FALSE	66
"sp|A0A023PXH5|YB26B_YEAST"	"YEAST"	TRUE	27
"sp|A0A023PXH6|YM172_YEAST"	"YEAST"	TRUE	32
"sp|A0A023PXH9|YD149_YEAST"	"YEAST"	FALSE	65
"sp|A0A023PXI0|YM306_YEAST"	"YEAST"	FALSE	53
"sp|A0A023PXI4|YD203_YEAST"	"YEAST"	TRUE	13
"sp|A0A023PXI5|YP97C_YEAST"	"YEAST"	FALSE	84
"sp|A0A023PXI8|YE006_YEAST"	"YEAST"	FALSE	41
"sp|A0A023PXJ3|YE76A_YEAST"	"YEAST"	FALSE	46
"sp|A0A023PXJ7|YE107_YEAST"	"YEAST"	TRUE	33
"sp|A0A023PXK2|YE148_YEAST"	"YEAST"	TRUE	40
"sp|A0A023PXK7|YF021_YEAST"	"YEAST"	FALSE	127
"sp|A0A023PXL1|YH019_YEAST"	"YEAST"	FALSE	74
"sp|A0A023PXL7|YH056_YEAST"	"YEAST"	FALSE	62
"sp|A0A023PXM2|YH131_YEAST"	"YEAST"	FALSE	32
"sp|A0A023PXM7|YIL20_YEAST"	"YEAST"	TRUE	40
"sp|A0A023PXN3|YI068_YEAST"	"YEAST"	TRUE	44
"sp|A0A023PXN9|YI171_YEAST"	"YEAST"	FALSE	47
"sp|A0A023PXP4|YL235_YEAST"	"YEAST"	FALSE	45
"sp|A0A023PXP7|YM034_YEAST"	"YEAST"	FALSE	41
"sp|A0A023PXQ4|YM173_YEAST"	"YEAST"	FALSE	92
"sp|A0A023PXQ9|YM316_YEAST"	"YEAST"	TRUE	9
"sp|A0A023PYC6|YA16A_YEAST"	"YEAST"	TRUE	12
"sp|A0A023PYD0|YA059_YEAST"	"YEAST"	FALSE	56
"sp|A0A023PYD3|YD94W_YEAST"	"YEAST"	FALSE	39
"sp|A0A023PYD7|YD87C_YEAST"	"YEAST"	FALSE	31
"sp|A0A023PYD9|YE018_YEAST"	"YEAST"	TRUE	37
"sp|A0A023PYE4|YE067_YEAST"	"YEAST"	FALSE	43
"sp|A0A023PYE9|YE087_YEAST"	"YEAST"	TRUE	18
"sp|A0A023PYF4|YE145_YEAST"	"YEAST"	TRUE	48
"sp|A0A023PYF7|YE172_YEAST"	"YEAST"	TRUE	46
"sp|A0A023PYG1|YH002_YEAST"	"YEAST"	FALSE	53
"sp|A0A023PYG5|YH046_YEAST"	"YEAST"	FALSE	25
"sp|A0A023PYH0|YH070_YEAST"	"YEAST"	FALSE	50
"sp|A0A023PYH5|YH193_YEAST"	"YEAST"	FALSE	51
"sp|A0A023PYH8|YI047_YEAST"	"YEAST"	TRUE	32
"sp|A0A023PYI2|YI142_YEAST"	"YEAST"	TRUE	17
"sp|A0A023PYI5|YI036_YEAST"	"YEAST"	FALSE	43
"sp|A0A023PYJ0|YM09A_YEAST"	"YEAST"	FALSE	42
"sp|A0A023PYJ4|YM153_YEAST"	"YEAST"	TRUE	33
"sp|A0A023PYJ7|YM304_YEAST"	"YEAST"	TRUE	31
"sp|A0A023PYK2|YP170_YEAST"	"YEAST"	TRUE	33
"sp|A0A023PZ94|YA031_YEAST"	"YEAST"	FALSE	30
"sp|A0A023PZ99|YD008_YEAST"	"YEAST"	TRUE	33
"sp|A0A023PZA4|YD154_YEAST"	"YEAST"	TRUE	30
"sp|A0A023PZA9|YD230_YEAST"	"YEAST"	TRUE	27
"sp|A0A023PZB3|FMP49_YEAST"	"YEAST"	FALSE	52
"sp|A0A023PZB8|YE079_YEAST"	"YEAST"	FALSE	23
"sp|A0A023PZC3|YE133_YEAST"	"YEAST"	FALSE	31
"sp|A0A023PZC7|YE152_YEAST"	"YEAST"	FALSE	85
"sp|A0A023PZD0|YF036_YEAST"	"YEAST"	TRUE	24
"sp|A0A023PZD5|YH030_YEAST"	"YEAST"	FALSE	37
"sp|A0A023PZE1|YH063_YEAST"	"YEAST"	TRUE	26
"sp|A0A023PZE2|YA047_YEAST"	"YEAST"	TRUE	24
"sp|A0A023PZE4|YH165_YEAST"	"YEAST"	TRUE	14
"sp|A0A023PZE6|YD048_YEAST"	"YEAST"	FALSE	38
"sp|A0A023PZE8|YD57W_YEAST"	"YEAST"	TRUE	44
"sp|A0A023PZE9|YI029_YEAST"	"YEAST"	TRUE	31
"sp|A0A023PZF2|YE009_YEAST"	"YEAST"	FALSE	71
"sp|A0A023PZF3|YI070_YEAST"	"YEAST"	FALSE	36
"sp|A0A023PZF5|YE046_YEAST"	"YEAST"	TRUE	24
"sp|A0A023PZF9|YI023_YEAST"	"YEAST"	TRUE	6
"sp|A0A023PZG0|YE084_YEAST"	"YEAST"	TRUE	39
"sp|A0A023PZG4|YL236_YEAST"	"YEAST"	FALSE	28
"sp|A0A023PZG5|YE137_YEAST"	"YEAST"	FALSE	22
"sp|A0A023PZG9|YM047_YEAST"	"YEAST"	TRUE	31
"sp|A0A023PZH1|YE165_YEAST"	"YEAST"	FALSE	41
"sp|A0A023PZH4|YF052_YEAST"	"YEAST"	FALSE	40
"sp|A0A023PZH5|YM290_YEAST"	"YEAST"	FALSE	32
"sp|A0A023PZH9|YH034_YEAST"	"YEAST"	TRUE	29
"sp|A0A023PZI1|OPI11_YEAST"	"YEAST"	FALSE	31
"sp|A0A023PZI4|YH069_YEAST"	"YEAST"	TRUE	20
"sp|A0A023PZI9|YH182_YEAST"	"YEAST"	FALSE	41
"sp|A0A023PZJ3|YI030_YEAST"	"YEAST"	FALSE	36
"sp|A0A023PZJ9|YI115_YEAST"	"YEAST"	TRUE	26
"sp|A0A023PZK4|YI30A_YEAST"	"YEAST"	FALSE	41
"sp|A0A023PZK9|YL458_YEAST"	"YEAST"	FALSE	42
"sp|A0A023PZL2|YM119_YEAST"	"YEAST"	FALSE	45
"sp|A0A023PZL7|YM294_YEAST"	"YEAST"	FALSE	59
"sp|A0A023PZM3|YP050_YEAST"	"YEAST"	TRUE	24
"sp|A0A024RBG1|NUD4B_HUMAN"	"HUMAN"	FALSE	70
"sp|A0A075B6H7|KV37_HUMAN"	"HUMAN"	FALSE	22
"sp|A0A075B6H8|KVD42_HUMAN"	"HUMAN"	TRUE	31
"sp|A0A075B6H9|LV469_HUMAN"	"HUMAN"	FALSE	24
"sp|A0A075B6I0|LV861_HUMAN"	"HUMAN"	TRUE	14
"sp|A0A075B6I1|LV460_HUMAN"	"HUMAN"	TRUE	24
"sp|A0A075B6I3|LVK55_HUMAN"	"HUMAN"	FALSE	26
"sp|A0A075B6I4|LVX54_HUMAN"	"HUMAN"	FALSE	21
"sp|A0A075B6I6|LV150_HUMAN"	"HUMAN"	TRUE	14
"sp|A0A075B6I7|LV548_HUMAN"	"HUMAN"	FALSE	26
"sp|A0A075B6I9|LV746_HUMAN"	"HUMAN"	FALSE	14
"sp|A0A075B6J1|LV537_HUMAN"	"HUMAN"	FALSE	18
"sp|A0A075B6J2|LV233_HUMAN"	"HUMAN"	TRUE	17
"sp|A0A075B6J6|LV322_HUMAN"	"HUMAN"	TRUE	14
"sp|A0A075B6J9|LV218_HUMAN"	"HUMAN"	FALSE	14
"sp|A0A075B6K0|LV316_HUMAN"	"HUMAN"	FALSE	17
"sp|A0A075B6K2|LV312_HUMAN"	"HUMAN"	FALSE	14
"sp|A0A075B6K4|LV310_HUMAN"	"HUMAN"	FALSE	21
"sp|A0A075B6K5|LV39_HUMAN"	"HUMAN"	FALSE	18
"sp|A0A075B6K6|LV403_HUMAN"	"HUMAN"	FALSE	25
"sp|A0A075B6L2|TVG11_HUMAN"	"HUMAN"	FALSE	40
"sp|A0A075B6L6|TVB73_HUMAN"	"HUMAN"	FALSE	36
"sp|A0A075B6N1|TVB19_HUMAN"	"HUMAN"	FALSE	33
"sp|A0A075B6N2|TVBT1_HUMAN"	"HUMAN"	TRUE	30
"sp|A0A075B6N3|TVBX1_HUMAN"	"HUMAN"	FALSE	39
"sp|A0A075B6N4|TVBY1_HUMAN"	"HUMAN"	FALSE	27
"sp|A0A075B6P5|KV228_HUMAN"	"HUMAN"	FALSE	20
"sp|A0A075B6Q5|HV364_HUMAN"	"HUMAN"	FALSE	32
"sp|A0A075B6R0|TRGV2_HUMAN"	"HUMAN"	FALSE	37
"sp|A0A075B6R2|HV404_HUMAN"	"HUMAN"	FALSE	31
"sp|A0A075B6R9|KVD24_HUMAN"	"HUMAN"	FALSE	27
"sp|A0A075B6S0|TRGJ1_HUMAN"	"HUMAN"	FALSE	4
"sp|A0A075B6S2|KVD29_HUMAN"	"HUMAN"	FALSE	24
"sp|A0A075B6S4|KVD17_HUMAN"	"HUMAN"	FALSE	27
"sp|A0A075B6S5|KV127_HUMAN"	"HUMAN"	FALSE	28
"sp|A0A075B6S6|KVD30_HUMAN"	"HUMAN"	FALSE	26
"sp|A0A075B6S9|KV137_HUMAN"	"HUMAN"	FALSE	32
"sp|A0A075B6T6|TVAL2_HUMAN"	"HUMAN"	FALSE	34
"sp|A0A075B6T7|TVA6_HUMAN"	"HUMAN"	FALSE	48
"sp|A0A075B6T8|TVA91_HUMAN"	"HUMAN"	FALSE	24
"sp|A0A075B6U4|TVA7_HUMAN"	"HUMAN"	TRUE	28
"sp|A0A075B6V5|TVA36_HUMAN"	"HUMAN"	TRUE	34
"sp|A0A075B6W5|TVA23_HUMAN"	"HUMAN"	TRUE	36
"sp|A0A075B6X5|TVA18_HUMAN"	"HUMAN"	TRUE	25
"sp|A0A075B6Y3|TJA3_HUMAN"	"HUMAN"	TRUE	6
"sp|A0A075B6Y9|TJA42_HUMAN"	"HUMAN"	TRUE	5
"sp|A0A075B700|TJA31_HUMAN"	"HUMAN"	TRUE	3
"sp|A0A075B706|TRDJ1_HUMAN"	"HUMAN"	FALSE	8
"sp|A0A075B734|AQP7B_HUMAN"	"HUMAN"	FALSE	76
"sp|A0A075B759|PAL4E_HUMAN"	"HUMAN"	FALSE	78
"sp|A0A075B767|PAL4H_HUMAN"	"HUMAN"	FALSE	74
"sp|A0A087WSX0|LV545_HUMAN"	"HUMAN"	FALSE	21
"sp|A0A087WSY4|HV432_HUMAN"	"HUMAN"	FALSE	31
"sp|A0A087WSY6|KVD15_HUMAN"	"HUMAN"	FALSE	18
"sp|A0A087WSZ0|KVD08_HUMAN"	"HUMAN"	FALSE	21
"sp|A0A087WSZ9|TVA30_HUMAN"	"HUMAN"	FALSE	39
"sp|A0A087WT01|TVA27_HUMAN"	"HUMAN"	FALSE	22
"sp|A0A087WT02|TVA92_HUMAN"	"HUMAN"	FALSE	29
"sp|A0A087WT03|TVAZ1_HUMAN"	"HUMAN"	FALSE	34
"sp|A0A087WTH1|TM265_HUMAN"	"HUMAN"	FALSE	38
"sp|A0A087WTH5|KCE1B_HUMAN"	"HUMAN"	FALSE	42
"sp|A0A087WUL8|NBPFJ_HUMAN"	"HUMAN"	FALSE	312
