"","protein_group","number_of_peptides_A_1","number_of_peptides_A_2","number_of_peptides_A_3","number_of_peptides_B_1","number_of_peptides_B_2","number_of_peptides_B_3","abundance_A_1","abundance_B_1","abundance_A_2","abundance_B_2","abundance_A_3","abundance_B_3","log_ratios_B..vs.A.","differential_abundance_qvalue_B..vs.A."
"1","sp|P49327|FAS_HUMAN",87,87,86,91,87,98,29.4588777907514,29.584585006747,29.7956348352813,29.509059877543,29.8388172935676,29.8944445907392,-0.0350801481903673,1
"2","sp|P00925|ENO2_YEAST",87,88,96,71,65,70,32.7671125221651,31.6722123105559,32.9780557879141,31.6668988077563,33.0358540628842,32.0340394236938,-1.1359572769858,0.053754450349871
"3","sp|P21333|FLNA_HUMAN",74,67,76,76,79,79,28.9352154173308,28.9462167460865,29.3762101953239,29.2003306611978,29.5007764900101,29.563212684247,-0.0341473370445004,1
"4","sp|P78527|PRKDC_HUMAN",77,75,78,77,80,88,28.6733833785788,28.6468696985138,29.2885008561211,28.7327886990618,29.1376298785606,29.0672254096252,-0.217543435353234,1
"5","sp|P06169|PDC1_YEAST",74,73,80,57,56,64,32.1807007615409,31.0391488182776,32.5647631861948,31.278339562383,32.574692030224,31.5566731509212,-1.1486648154593,0.0568169114230066
"6","sp|P63261|ACTG_HUMAN",59,64,70,67,66,75,32.5137907147925,32.4453829375173,32.7829902129739,32.5324948090519,32.8064422408954,32.8062471251265,-0.106366098988701,1
"7","sp|Cont_Q2KJD0|TBB5_BOVIN; sp|P07437|TBB5_HUMAN",74,73,77,79,81,83,31.7502197644518,31.9644944933158,31.9756226097539,31.7938701784154,32.0832835638729,32.1164775449784,0.021905426210336,1
"8","sp|Q14204|DYHC1_HUMAN",73,65,73,70,79,82,28.1763107429366,28.1257628107088,28.5506591972345,28.284224424375,28.5827801108707,28.5288127253543,-0.123650030201233,1
"9","sp|Cont_P60712|ACTB_BOVIN; sp|P60709|ACTB_HUMAN",58,63,68,68,65,74,32.5138970710183,32.4458436144897,32.7830921579728,32.532526912129,32.806106475923,32.8058915413883,-0.106277878969036,1
"10","sp|Q9Y490|TLN1_HUMAN",59,69,62,70,65,73,28.3785404102164,28.5998972962901,28.863663009981,28.4393170425429,28.9691393309898,28.9274049000802,-0.0815745040913332,1
